Name:	KIT-SIMBA-013-2.081
Channel:	81
Tester	Maccor #4
Procedure	SIMBA.000
Description	SIMBA-Capacity_test
Started	06/05/2021 11:23:46
SCap	0,017
C Rate	0,003
Ch. max. V	6,00 V
DisCh. min. V	0,00 V
Ch. max. I	5,000 A
DisCh. max. I	5,000 A

Rec	Cycle P	Cycle C	Step	TestTime	StepTime	Cap. [Ah]	Ener. [Wh]	Current [A]	Voltage [V]	Md	ES	DPT Time	VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15
63	0	1	1	62,000000	62,000000	0,00000000	0,00000000	0,00000000	0,1505	R	1	06/05/2021 12:25:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
64	0	1	1	63,000000	63,000000	0,00000000	0,00000000	0,00000000	0,1505	R	1	06/05/2021 12:26:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
65	0	1	1	64,000000	64,000000	0,00000000	0,00000000	0,00000000	0,1507	R	1	06/05/2021 12:27:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
66	0	1	1	65,000000	65,000000	0,00000000	0,00000000	0,00000000	0,1507	R	1	06/05/2021 12:28:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
67	0	1	1	66,000000	66,000000	0,00000000	0,00000000	0,00000000	0,1507	R	1	06/05/2021 12:29:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
68	0	1	1	67,000000	67,000000	0,00000000	0,00000000	0,00000000	0,1506	R	1	06/05/2021 12:30:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
69	0	1	1	68,000000	68,000000	0,00000000	0,00000000	0,00000000	0,1507	R	1	06/05/2021 12:31:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
70	0	1	1	69,000000	69,000000	0,00000000	0,00000000	0,00000000	0,1508	R	1	06/05/2021 12:32:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
71	0	1	1	70,000000	70,000000	0,00000000	0,00000000	0,00000000	0,1509	R	1	06/05/2021 12:33:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
72	0	1	1	71,000000	71,000000	0,00000000	0,00000000	0,00000000	0,1508	R	1	06/05/2021 12:34:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
73	0	1	1	72,000000	72,000000	0,00000000	0,00000000	0,00000000	0,1508	R	1	06/05/2021 12:35:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
74	0	1	1	73,000000	73,000000	0,00000000	0,00000000	0,00000000	0,1509	R	1	06/05/2021 12:36:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
75	0	1	1	74,000000	74,000000	0,00000000	0,00000000	0,00000000	0,1509	R	1	06/05/2021 12:37:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
76	0	1	1	75,000000	75,000000	0,00000000	0,00000000	0,00000000	0,1510	R	1	06/05/2021 12:38:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
77	0	1	1	76,000000	76,000000	0,00000000	0,00000000	0,00000000	0,1511	R	1	06/05/2021 12:39:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
78	0	1	1	77,000000	77,000000	0,00000000	0,00000000	0,00000000	0,1511	R	1	06/05/2021 12:40:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
79	0	1	1	78,000000	78,000000	0,00000000	0,00000000	0,00000000	0,1510	R	1	06/05/2021 12:41:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
