Test_ID;Data_Point;Test_Time;Step_Time;DateTime;Step_Index;Cycle_Index;Is_FC_Data;Current;Voltage;Charge_Capacity;Discharge_Capacity;Charge_Energy;Discharge_Energy;dV/dt;Internal_Resistance;AC_Impedance;ACI_Phase_Angle
1;9243;782452,6823;1849,633946;42596,73468;10;16;0;-0,00030456;0,3125437;0;0,000156382;0;6,10333E-05;-0,000123167;13,71504;0;0
1;9244;782572,6938;1969,645434;42596,73606;10;16;0;-0,00030456;0,3106962;0;0,000166527;0;6,41955E-05;0;13,71504;0;0
1;9245;782692,6961;2089,64768;42596,73745;10;16;0;-0,000304207;0,3085408;0;0,000176672;0;6,73354E-05;0;13,71504;0;0
1;9246;782812,6976;2209,649176;42596,73884;10;16;0;-0,000304207;0,3063854;0;0,000186817;0;7,04551E-05;0;13,71504;0;0
1;9247;782932,7067;2329,658338;42596,74023;10;16;0;-0,000304207;0,304538;0;0,000196964;0;7,35545E-05;0;13,71504;0;0
1;9248;783052,7092;2449,660795;42596,74162;10;16;0;-0,00030456;0,3023826;0;0,000207109;0;7,66335E-05;-6,15835E-05;13,71504;0;0
1;9249;783172,7175;2569,669116;42596,74301;10;16;0;-0,00030456;0,3005351;0;0,000217255;0;7,96926E-05;0;13,71504;0;0
1;9250;783292,7201;2689,671754;42596,7444;10;16;0;-0,000304207;0,2986876;0;0,000227401;0;8,27311E-05;6,15835E-05;13,71504;0;0
1;9251;783412,7253;2809,676893;42596,74579;10;16;0;-0,000304207;0,2965322;0;0,000237547;0;8,57496E-05;0;13,71504;0;0
1;9252;783532,7327;2929,684265;42596,74718;10;16;0;-0,000304207;0,2943768;0;0,000247693;0;8,87479E-05;-6,15835E-05;13,71504;0;0
1;9253;783652,743;3049,694651;42596,74856;10;16;0;-0,000304207;0,2925293;0;0,000257839;0;9,1726E-05;0;13,71504;0;0
1;9254;783772,7584;3169,709986;42596,74995;10;16;0;-0,000304207;0,290374;0;0,000267986;0;9,46842E-05;-6,15835E-05;13,71504;0;0
1;9255;783892,7658;3289,717398;42596,75134;10;16;0;-0,000304207;0,2885265;0;0,000278132;0;9,76217E-05;0;13,71504;0;0
1;9256;784012,7671;3409,718742;42596,75273;10;16;0;-0,00030456;0,2863711;0;0,000288278;0;0,000100539;-6,15835E-05;13,71504;0;0
1;9257;784132,7775;3529,729112;42596,75412;10;16;0;-0,00030456;0,2848315;0;0,000298424;0;0,000103437;6,15835E-05;13,71504;0;0
1;9258;784252,7909;3649,742501;42596,75551;10;16;0;-0,000304207;0,282984;0;0,000308571;0;0,000106316;0;13,71504;0;0
1;9259;784372,8022;3769,753857;42596,7569;10;16;0;-0,000304207;0,2811366;0;0,000318718;0;0,000109176;6,15835E-05;13,71504;0;0
1;9260;784492,8147;3889,766305;42596,75829;10;16;0;-0,000303854;0,2792891;0;0,000328864;0;0,000112018;6,15835E-05;13,71504;0;0
1;9261;784612,8281;4009,77974;42596,75969;10;16;0;-0,00030456;0,2774416;0;0,00033901;0;0,000114842;0;13,71504;0;0
1;9262;784732,8293;4129,780945;42596,76108;10;16;0;-0,000304207;0,2752862;0;0,000349156;0;0,000117647;-0,000123161;13,71504;0;0
1;9263;784852,8417;4249,793284;42596,76247;10;16;0;-0,000304207;0,2740546;0;0,000359302;0;0,000120435;0;13,71504;0;0
1;9264;784972,8531;4369,804666;42596,76385;10;16;0;-0,00030456;0,2718992;0;0,000369449;0;0,000123205;-6,15835E-05;13,71504;0;0
1;9265;785092,8656;4489,817165;42596,76524;10;16;0;-0,000304207;0,2703596;0;0,000379595;0;0,000125959;-0,000123167;13,71504;0;0
